Date,AAPL,ABBV,ADBE,ADI,ALAB,ALNY,AMAT,AMD,AMGN,AMZN,ANET,APLD,ARM,ASML,AVGO,AZN,BIIB,BMY,BNTX,BWXT,CCJ,CDNS,CEG,CIEN,COHR,CRDO,CRM,CRWD,CRWV,DDOG,DELL,DLR,DNN,ENTG,EQIX,ETN,GEV,GILD,GOOGL,HPE,IBM,INTC,IREN,ISRG,JNJ,KLAC,LEU,LLY,LRCX,MCHP,META,MPWR,MRK,MRNA,MRVL,MSFT,MU,NBIS,NET,NNE,NOW,NRG,NVDA,NVO,NVS,NXE,NXPI,OKLO,ON,ORCL,PANW,PFE,PLTR,QCOM,REGN,SMCI,SMR,SNOW,SNPS,SPY,STX,TER,TLN,TMO,TSLA,TSM,TXN,UEC,UUUU,VRT,VRTX,VST,WDC
2025-07-29,210.4351501464844,185.46630859375,370.7000122070313,227.6935272216797,118.41000366210938,330.54998779296875,187.03794860839844,177.44000244140625,294.7018737792969,231.009994506836,118.62000274658205,10.119999885559082,163.47000122070312,713.782958984375,295.2566833496094,145.42208862304688,127.9000015258789,44.71380233764648,111.4800033569336,149.443603515625,78.5370864868164,366.260009765625,328.7915344238281,91.06999969482422,106.9800033569336,109.37999725341795,265.1459045410156,116.37750244140624,108.73999786376952,150.27000427246094,131.83009338378906,173.2970428466797,2.130000114440918,92.5079574584961,793.09228515625,385.535888671875,631.236572265625,111.32979583740234,195.19314575195312,20.424564361572266,255.8657684326172,20.40999984741211,15.789999961853027,496.8699951171875,164.01199340820312,91.02235412597656,224.0800018310547,757.5907592773438,98.39543151855467,68.81342315673828,697.7132568359375,719.3365478515625,79.9568862915039,32.65999984741211,76.17769622802734,508.5082702636719,111.78059387207033,50.400001525878906,199.42999267578125,35.45000076293945,198.63999938964844,158.0620574951172,175.2765350341797,51.45195770263672,113.7575912475586,7.0,222.78028869628903,71.01000213623047,58.380001068115234,247.1629180908203,193.83999633789065,22.70747184753418,156.24000549316406,158.73435974121094,555.1080932617188,58.630001068115234,48.970001220703125,218.759994506836,635.8099975585938,628.2982788085938,151.42967224121094,90.31879425048828,361.2099914550781,480.40863037109375,321.20001220703125,238.6902313232422,186.1585388183593,8.75,9.470000267028809,142.54296875,468.4100036621094,196.966796875,70.4191665649414
2025-07-30,208.2239227294922,183.61376953125,364.0,228.0487365722656,128.8699951171875,339.79998779296875,188.01080322265625,179.50999450683594,292.5757751464844,230.19000244140625,122.08999633789062,10.029999732971191,163.3249969482422,716.7235107421875,300.4187927246094,150.5525360107422,126.63999938964844,43.87410736083984,110.0500030517578,151.5319061279297,77.59890747070312,371.0299987792969,343.46435546875,92.9499969482422,107.2300033569336,116.01000213623048,262.5874938964844,115.7874984741211,102.88999938964844,148.8800048828125,131.85971069335938,172.32510375976562,2.0799999237060547,79.13294982910156,779.3156127929688,385.6149291992188,653.5160522460938,111.84632873535156,195.970947265625,20.463747024536133,253.7693786621093,20.34000015258789,16.139999389648438,500.510009765625,163.1826934814453,91.9066390991211,225.19000244140625,754.740966796875,98.54460144042967,68.4337158203125,692.9389038085938,725.4636840820312,79.10536193847656,32.150001525878906,81.56621551513672,509.1729431152344,114.55613708496094,51.290000915527344,200.8500061035156,36.06999969482422,195.4960021972656,164.70606994628906,179.0315399169922,47.72230911254883,113.1850128173828,6.869999885559082,217.08155822753903,75.62999725341797,58.04999923706055,247.7759552001953,183.02999877929688,22.24958610534668,158.61000061035156,155.7766876220703,551.5574951171875,60.709999084472656,50.5099983215332,220.27999877929688,645.3499755859375,627.507080078125,146.21275329589844,107.37512969970705,373.3599853515625,475.5463562011719,319.0400085449219,240.2529296875,184.3492889404297,8.680000305175781,9.109999656677246,144.01136779785156,469.1600036621094,205.9695739746093,71.23695373535156
2025-07-31,206.74978637695312,183.33251953125,357.69000244140625,221.6545867919922,136.72999572753906,392.239990234375,178.7487335205078,176.30999755859375,286.48876953125,234.1100006103516,123.22000122070312,13.140000343322754,141.375,690.1587524414062,291.5636901855469,143.67259216308594,128.0,41.32639694213867,107.5,151.0843963623047,74.78439331054688,364.5700073242188,346.0209350585937,92.83999633789062,107.5999984741211,111.5500030517578,256.161865234375,113.64250183105467,114.12999725341795,139.97999572753906,131.02041625976562,171.48924255371094,2.069999933242798,78.2552490234375,767.7095336914062,380.3065490722656,658.7940063476562,109.43903350830078,191.3540954589844,20.2678279876709,246.8367156982422,19.799999237060547,16.110000610351562,481.0899963378906,160.72413635253906,87.34008026123047,215.3999938964844,734.8715209960938,94.3179931640625,65.80502319335938,770.913330078125,706.2977905273438,75.5927963256836,29.559999465942383,80.19914245605469,529.2723999023438,108.96510314941406,54.43000030517578,207.67999267578125,35.43000030517578,188.62399291992188,165.30917358398438,177.63340759277344,44.89884185791016,110.38037872314452,6.710000038146973,210.0367889404297,76.58999633789062,56.36000061035156,250.91021728515625,173.60000610351562,21.7636661529541,158.35000610351562,143.7305908203125,542.4873046875,58.970001220703125,50.209999084472656,223.5,633.469970703125,625.1531372070312,155.72422790527344,107.15568542480467,377.5700073242188,465.9811706542969,308.2699890136719,238.97705078125,177.39306640625,8.670000076293945,9.09000015258789,145.4398193359375,456.8699951171875,207.4517822265625,78.47732543945312
2025-08-01,201.58029174804688,189.345947265625,347.79998779296875,218.77325439453125,131.10000610351562,401.7999877929688,178.67926025390625,171.6999969482422,288.2168273925781,214.75,117.56999969482422,12.520000457763672,137.5800018310547,685.30078125,286.54052734375,145.36309814453125,131.9499969482422,42.20425033569336,107.33999633789062,148.6679229736328,72.78827667236328,356.9700012207031,338.9878845214844,88.62999725341797,102.79000091552734,107.55999755859376,248.63560485839844,111.66500091552734,104.13999938964844,135.60000610351562,125.7179718017578,167.3779296875,2.039999961853028,75.46256256103516,754.5879516601562,376.9158935546875,655.0126953125,110.30643463134766,188.59197998046875,19.4057846069336,243.81402587890625,19.309999465942383,15.399999618530272,483.1199951171875,163.25099182128906,88.09620666503906,208.3300018310547,756.9751586914062,95.8395767211914,64.60751342773438,747.5598754882812,780.1609497070312,76.72493743896484,27.604999542236328,74.29171752929688,519.956787109375,104.71192932128906,52.0,200.1100006103516,33.9900016784668,182.87399291992188,166.17161560058594,173.4889373779297,45.96718215942383,111.89430236816406,6.480000019073486,206.2540283203125,71.48999786376953,56.81999969482422,241.6655731201172,172.8800048828125,21.950557708740234,154.27000427246094,145.13107299804688,555.8240966796875,56.63999938964844,44.43000030517578,205.0200042724609,618.6500244140625,614.9066162109375,153.542236328125,103.89404296875,378.010009765625,461.3580932617188,302.6300048828125,232.6371612548828,177.19712829589844,8.670000076293945,8.850000381469727,141.4342041015625,462.1300048828125,206.9643402099609,76.34310913085938
2025-08-04,202.5464782714844,191.2566680908203,338.8500061035156,219.4541015625,137.92999267578125,419.55999755859375,181.48866271972656,176.77999877929688,293.129150390625,211.6499938964844,120.3499984741211,13.949999809265137,140.0500030517578,694.7781982421875,295.554443359375,146.6211395263672,132.1999969482422,43.32067108154297,110.02999877929688,153.65003967285156,75.1137466430664,364.8800048828125,353.0340881347656,92.66999816894533,106.73999786376952,114.6999969482422,250.20236206054688,113.71499633789062,106.01000213623048,139.1300048828125,128.5913543701172,168.05828857421875,2.130000114440918,73.48772430419922,761.0803833007812,380.3460998535156,661.2685546875,111.6026840209961,194.4851837158203,19.61149978637696,245.6958770751953,19.5,16.479999542236328,483.3599853515625,166.8705291748047,90.97564697265624,210.0500030517578,763.5983276367188,97.86834716796876,64.83142852783203,773.833740234375,824.8582153320312,77.27650451660156,27.63999938964844,76.3672866821289,531.3954467773438,107.5972900390625,54.16999816894531,208.8000030517578,35.58000183105469,184.6000061035156,172.39695739746094,179.76058959960938,46.558589935302734,114.34957122802734,6.760000228881836,208.28787231445312,76.41000366210938,47.970001220703125,249.6841735839844,171.0,21.98793601989746,160.66000366210938,144.46510314941406,568.425048828125,58.22999954223633,43.380001068115234,208.47999572753903,636.02001953125,624.2530517578125,153.542236328125,105.45005798339844,390.6799926757813,464.875244140625,309.260009765625,236.38571166992188,179.0292510986328,9.210000038146973,9.720000267028809,140.0457305908203,472.2699890136719,212.94297790527344,77.08110809326172
2025-08-05,202.11813354492188,192.5757598876953,338.739990234375,217.75689697265625,135.5399932861328,418.9100036621094,177.84535217285156,174.30999755859375,291.32342529296875,213.75,118.12000274658205,14.890000343322754,137.22999572753906,685.1119384765625,290.7992858886719,146.40493774414062,132.88999938964844,43.75005722045898,111.06999969482422,180.987045288086,74.4450454711914,360.5,341.7732849121094,91.48999786376952,105.5999984741211,110.29000091552734,245.4128875732422,110.4375,111.83999633789062,132.94000244140625,128.8382110595703,167.33905029296875,2.240000009536743,73.14860534667969,761.6181030273438,352.36083984375,648.248046875,109.60472869873048,194.11622619628903,19.46455955505371,244.4185485839844,20.190000534057617,16.450000762939453,477.0,166.577880859375,87.77528381347656,213.8000030517578,760.5697021484375,96.14787292480467,65.35717010498047,760.9659423828125,797.2017822265625,78.1764144897461,27.46999931335449,76.46708679199219,523.5679321289062,108.88523864746094,55.16999816894531,207.8099975585937,37.95000076293945,181.0240020751953,170.4639434814453,178.0229034423828,45.04192733764648,114.25252532958984,6.940000057220459,204.829330444336,84.08999633789062,47.2400016784668,252.78878784179688,169.08999633789062,23.12798309326172,173.27000427246094,143.68162536621094,566.7940063476562,57.2599983215332,45.130001068115234,205.7700042724609,628.5,621.088134765625,150.49737548828125,106.65696716308594,384.2699890136719,464.7257995605469,308.7200012207031,229.92713928222656,181.6451873779297,9.5,9.920000076293944,138.60731506347656,374.9800109863281,208.5062713623047,75.63502502441406
2025-08-06,212.40733337402344,190.3934631347656,345.6199951171875,217.7667694091797,174.38999938964844,428.1400146484375,176.84271240234375,163.1199951171875,276.36309814453125,222.3099975585937,138.77999877929688,14.789999961853027,136.1199951171875,686.433349609375,299.4757080078125,144.67510986328125,129.33999633789062,42.767234802246094,111.3000030517578,178.73963928222656,76.4012451171875,360.1600036621094,336.6899719238281,94.30999755859376,107.1500015258789,117.33999633789062,247.0787811279297,112.92250061035156,110.23999786376952,136.9600067138672,126.52766418457033,164.7342529296875,2.259999990463257,72.04151153564453,755.8101196289062,354.0512084960937,663.04443359375,107.48007202148438,195.5321807861328,19.719253540039062,245.9884033203125,20.40999984741211,18.31999969482422,474.05999755859375,166.4315185546875,88.25916290283203,232.38999938964844,741.1272583007812,95.41194915771484,64.42251586914062,769.4680786132812,800.2503662109375,76.87008666992188,26.709999084472656,75.15986633300781,520.7802734375,108.6056900024414,55.09000015258789,215.52999877929688,38.290000915527344,182.4620056152344,147.26751708984375,179.1813507080078,43.28680038452149,110.14746856689452,7.110000133514404,202.3238677978516,83.0999984741211,46.97999954223633,253.54022216796875,172.88999938964844,22.361722946166992,179.5399932861328,142.82958984375,552.1045532226562,46.790000915527344,45.93000030517578,210.5399932861328,625.8800048828125,625.845458984375,146.06398010253906,104.61219787597656,378.6700134277344,447.3092651367188,319.9100036621094,228.8391571044922,182.1448669433593,9.760000228881836,9.68000030517578,139.59625244140625,385.6499938964844,199.8019256591797,73.58059692382812
2025-08-07,219.1605529785156,192.8764190673828,338.2699890136719,220.16458129882807,170.88999938964844,435.1000061035156,181.81622314453125,172.39999389648438,276.3922424316406,223.1300048828125,139.27999877929688,14.239999771118164,135.57000732421875,708.4481201171875,301.5505065917969,146.5818328857422,127.75,43.28250503540039,111.3499984741211,178.53079223632812,76.22159576416016,354.3299865722656,334.6507263183594,95.18000030517578,113.81999969482422,119.77999877929688,238.85836791992188,106.25,121.08000183105467,136.3800048828125,132.24478149414062,166.42543029785156,2.240000009536743,73.23837280273438,762.0092163085938,357.0650939941406,644.396728515625,107.48007202148438,195.9609832763672,19.98374366760254,243.9212646484375,19.770000457763672,18.56999969482422,469.80999755859375,167.34860229492188,90.62193298339844,234.94000244140625,636.3583374023438,98.6042709350586,64.47120666503906,759.3412475585938,792.3953247070312,77.77001190185547,26.61000061035156,75.68873596191406,516.7127075195312,111.69072723388672,65.30999755859375,210.44000244140625,36.900001525878906,174.82400512695312,151.886962890625,180.52957153320312,46.51089096069336,112.49598693847656,6.980000019073486,202.3140411376953,79.31999969482422,47.59000015258789,246.5795745849609,168.10000610351562,22.642059326171875,182.1999969482422,142.88833618164062,556.7490234375,46.66999816894531,44.68000030517578,206.3999938964844,620.3300170898438,625.3212280273438,146.88717651367188,106.18816375732422,375.5799865722656,453.0881958007813,322.2699890136719,239.9661102294922,182.1448669433593,9.850000381469728,9.600000381469728,139.23660278320312,375.6300048828125,204.5171813964844,74.23881530761719
2025-08-08,228.44374084472656,192.09078979492188,341.04998779296875,220.98358154296875,179.27999877929688,438.9299926757813,183.52371215820312,172.75999450683594,279.8192443847656,222.69000244140625,139.17999267578125,14.199999809265137,138.5,717.5878295898438,302.751708984375,145.58226013183594,130.6699981689453,43.84548568725586,111.66000366210938,178.1926727294922,76.77052307128906,352.0599975585937,334.00909423828125,95.05999755859376,115.44000244140624,120.41000366210938,238.491455078125,106.12249755859376,129.5500030517578,130.91000366210938,135.8784942626953,165.1424560546875,2.119999885559082,72.94913482666016,758.9390258789062,359.7220764160156,647.6194458007812,116.3782730102539,200.84703063964844,20.38537979125977,237.82521057128903,19.950000762939453,18.450000762939453,470.0799865722656,169.104736328125,90.8941879272461,223.1499938964844,621.2553100585938,101.1899642944336,60.236083984375,766.7869262695312,798.701171875,78.07965087890625,26.1200008392334,77.17556762695312,517.9032592773438,118.69947814941406,68.77999877929688,204.6000061035156,35.459999084472656,174.5019989013672,151.212890625,182.4569854736328,48.723880767822266,113.38880920410156,6.880000114440918,203.542221069336,75.31999969482422,47.65999984741211,247.2321319580078,167.05999755859375,22.96912384033203,186.9600067138672,144.51406860351562,559.9315795898438,44.59999847412109,39.34999847412109,191.72999572753903,619.4199829101562,630.197265625,149.21792602539062,107.19558715820312,374.6799926757813,459.0465087890625,329.6499938964844,239.1847381591797,183.42832946777344,10.18000030517578,9.550000190734863,139.77601623535156,366.5400085449219,201.0652770996093,74.76737213134766
2025-08-11,226.53909301757807,192.6630401611328,333.6499938964844,221.1019897460937,179.42999267578125,435.0,183.03729248046875,172.27999877929688,276.7708435058594,221.3000030517578,137.64999389648438,14.029999732971191,141.0500030517578,716.5844116210938,301.6894836425781,146.6115264892578,128.0,43.82639694213867,109.26000213623048,176.89991760253906,77.5190658569336,349.0899963378906,329.75640869140625,93.37999725341795,113.5999984741211,118.56999969482422,230.7271728515625,106.60749816894533,139.77999877929688,128.8300018310547,136.57957458496094,163.9955596923828,2.119999885559082,71.8420181274414,759.4767456054688,357.0155334472656,649.28564453125,117.41136169433594,200.42822265625,20.16986846923828,231.9647521972656,20.64999961853028,17.969999313354492,471.8500061035156,169.58279418945312,90.43513488769533,219.1000061035156,630.7579956054688,101.43859100341795,59.34038162231445,763.3679809570312,791.9683837890625,77.44100189208984,25.46999931335449,77.1156997680664,517.6353759765625,123.5217514038086,70.23999786376953,201.1699981689453,35.130001068115234,171.2740020751953,150.7073211669922,181.81784057617188,47.5696907043457,115.04830169677734,6.840000152587891,201.5771484375,71.86000061035156,47.09999847412109,249.83248901367188,168.1699981689453,22.96912384033203,182.67999267578125,144.9156036376953,542.964599609375,45.20000076293945,38.25,191.8000030517578,616.1199951171875,628.9510498046875,150.4477996826172,104.41271209716795,369.9500122070313,460.71044921875,339.0299987792969,239.44190979003903,179.98941040039062,9.6899995803833,9.609999656677246,139.6761474609375,374.4599914550781,199.03591918945312,74.43826293945312
