Date,BZ=F,CC=F,CL=F,CT=F,GC=F,GF=F,HE=F,HG=F,HO=F,KC=F,KE=F,LBR=F,LE=F,NG=F,OJ=F,PA=F,PL=F,RB=F,SB=F,SI=F,ZC=F,ZL=F,ZM=F,ZO=F,ZR=F,ZS=F,ZW=F
2025-07-29,72.51000213623047,8220.0,69.20999908447266,66.30000305175781,3323.39990234375,336.20001220703125,107.25,5.603499889373779,2.4637999534606934,296.5,518.5,684.5,229.7250061035156,3.0810000896453857,305.45001220703125,1268.199951171875,1404.0,2.218400001525879,16.59000015258789,38.08399963378906,389.25,57.540000915527344,261.70001220703125,369.0,12.385000228881836,981.75,529.75
2025-07-30,73.23999786376953,8192.0,70.0,65.9000015258789,3295.800048828125,338.95001220703125,107.0250015258789,5.570000171661377,2.4184999465942383,293.3999938964844,522.0,691.5,233.0749969482422,3.0450000762939453,285.1499938964844,1255.199951171875,1360.699951171875,2.2690999507904053,16.450000762939453,37.56600189208984,391.75,56.5,260.70001220703125,357.0,12.354999542236328,967.75,523.75
2025-07-31,72.52999877929688,8506.0,69.26000213623047,65.61000061035156,3293.199951171875,331.375,107.125,4.33050012588501,2.399499893188477,295.79998779296875,526.25,692.0,227.7749938964844,3.1059999465942383,260.1499938964844,1196.0999755859375,1286.4000244140625,2.21560001373291,16.350000381469727,36.55199813842773,394.0,55.58000183105469,261.79998779296875,353.25,12.279999732971191,961.75,523.25
2025-08-01,69.66999816894531,8232.0,67.33000183105469,64.41999816894531,3347.699951171875,334.57501220703125,107.3499984741211,4.412499904632568,2.2999000549316406,284.20001220703125,518.75,695.5,230.125,3.0829999446868896,235.1499938964844,1207.9000244140625,1304.0,2.1185998916625977,16.18000030517578,36.7869987487793,389.5,54.720001220703125,267.5,350.25,12.25,961.75,516.75
2025-08-04,68.76000213623047,8102.0,66.29000091552734,64.55999755859375,3374.39990234375,335.3999938964844,108.1750030517578,4.414999961853027,2.317600011825561,288.54998779296875,517.0,691.5,230.8999938964844,2.931999921798706,234.3000030517578,1194.800048828125,1326.4000244140625,2.1022000312805176,16.25,37.19200134277344,387.0,54.5,273.79998779296875,339.25,12.279999732971191,969.0,516.75
2025-08-05,67.63999938964844,8363.0,65.16000366210938,65.58999633789062,3381.89990234375,341.04998779296875,108.7750015258789,4.363999843597412,2.250200033187866,298.70001220703125,504.5,684.0,234.2749938964844,3.009999990463257,234.6499938964844,1193.5,1317.199951171875,2.0915000438690186,16.09000015258789,37.6870002746582,381.5,53.84000015258789,273.6000061035156,328.75,12.524999618530272,969.0,508.25
2025-08-06,66.88999938964844,8470.0,64.3499984741211,65.69999694824219,3380.0,345.0249938964844,108.875,4.390999794006348,2.2627999782562256,293.3999938964844,511.5,670.0,236.3000030517578,3.07699990272522,232.8500061035156,1137.4000244140625,1326.0,2.090399980545044,16.010000228881836,37.76599884033203,379.75,53.790000915527344,269.3999938964844,332.75,12.515000343322754,961.5,508.5
2025-08-07,66.43000030517578,8644.0,63.880001068115234,64.95999908447266,3400.300048828125,348.6499938964844,108.7750015258789,4.378499984741211,2.2667999267578125,297.79998779296875,521.5,653.5,238.75,3.066999912261963,225.3000030517578,1160.9000244140625,1339.9000244140625,2.077500104904175,16.010000228881836,38.15800094604492,384.5,53.540000915527344,272.70001220703125,332.0,12.704999923706056,971.75,518.25
2025-08-08,66.58999633789062,8526.0,63.880001068115234,65.31999969482422,3439.10009765625,339.3999938964844,108.9000015258789,4.45550012588501,2.2792999744415283,309.3500061035156,518.25,652.5,232.5500030517578,2.990000009536743,236.4499969482422,1133.199951171875,1325.5999755859375,2.086100101470948,16.25,38.41699981689453,382.75,52.7599983215332,273.3999938964844,333.0,12.720000267028809,966.75,514.5
2025-08-11,66.62999725341797,8778.0,63.959999084472656,65.29000091552734,3353.10009765625,340.2250061035156,109.6750030517578,4.423500061035156,2.29099988937378,320.70001220703125,519.0,636.5,233.0749969482422,2.9539999961853027,249.1999969482422,1149.4000244140625,1329.9000244140625,2.0766000747680664,16.489999771118164,37.6619987487793,385.0,53.290000915527344,277.70001220703125,333.5,12.970000267028809,989.5,515.0
2025-08-12,66.12000274658203,8793.0,63.16999816894531,67.06999969482422,3348.89990234375,345.375,109.5500030517578,4.508500099182129,2.2441000938415527,315.1499938964844,510.75,622.0,235.8249969482422,2.808000087738037,253.6499938964844,1131.199951171875,1341.9000244140625,2.074399948120117,16.940000534057617,37.89899826049805,371.5,53.29999923706055,278.3999938964844,334.25,12.779999732971191,1011.75,505.0
