,BTC,ETH,BNB,XRP,SOL,TRX,FIGR_HELOC,HYPE,ZEC,DOGE,RAIN,XMR,LEO,WBT,LINK,ADA,XLM,BCH,CC,GRAM,LTC,USDG,UNI,HBAR,AVAX,SHIB,SUI,USYC,CRO,M,NEAR,RLUSD,OKB,TAO,USDY,AAVE,ASTER,MNT,WLFI,MORPHO,PUMP,ONDO,SKY,PEPE,HTX,ENA,DOT,BGB,USDF,ICP,BFUSD,WLD,U,USDGO,EURSAFO,ETC,BTW,PI,POL,BCAP,KCS,LIT,QNT,EUTBL,JTRSY,GT,NEXO,VVV,USTB,JST,ATOM,ALGO,KAS,RENDER,JUP,JAAA,STABLE,GHO,ARB,BDX,TRUMP,DASH,FLR,CAKE,VET,FIL,XDC,PENGU,USD0,ETHFI,SPX,INJ,CRV,USDTB,币安人生,HASH,AERO,STX,A7A5,YLDS
2026-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.22968375333724,,1.5309914017607955,0.007096775190535,,,,,,,,,,,,0.3840062390441442,,,
2026-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.680019138947806,,1.5372769478691042,0.0071568844926281,,,,,,,,,,,,0.3806053212704802,,,
2026-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.390901836604776,,1.519289337095452,0.0071422485850395,,,0.0082356521240951,,,,3.2882457840768327,,,,,0.424677359441293,,,
2026-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.52047414314488,,1.510450555077158,0.0072480263183978,,,0.0084546081143348,,,,3.3828747865245994,,,,,0.4350222026675107,,,
2026-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.54513531097196,,1.502721499814586,0.0072736453078074,,,0.0083854118104606,,,,3.4304409021000914,,,,,0.4238543085627973,,,
2026-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.14302715724877,,1.5014334958888889,0.0073737025173993,,,0.0086256422357431,,,,3.54798370246186,,,,,0.4243514378200833,,,
2026-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.26470656851923,,1.5302092263987486,0.0073690981075096,,,0.0089612797773267,,,,3.7427051407487695,,,,,0.4620387354353052,,,
2026-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.51474053125718,,1.5078708471821187,0.0072322766086011,,,0.0103511039425402,,,,3.586635659481772,,,,,0.45920227479264,,,
2026-04-29,76331.86443470464,2292.7658741534183,624.401752594144,1.3830126883729867,84.04602358960982,0.3230866118973128,1.040656229103013,40.15975321669774,335.929240781846,0.0993376169954209,0.0074537126619638,377.8492799111737,10.476757151764732,53.901225599768274,9.241565917220926,0.2468182834190765,0.1619153765560252,453.96272140599285,0.1490131999156929,1.3027250507727717,55.698878264402325,0.999772943470694,3.241828948149037,0.0889513538411756,9.172744111474485,6.136698740893795e-06,0.9255642215457744,1.122599278330211,0.0691148346092493,3.409175517182497,1.3472791417042964,0.9998864810233686,82.75505814477337,258.27606831849704,1.1330796064047752,96.49004962048772,0.6519480080760466,0.6305228368812545,0.0737847100364643,1.9595417559877315,0.0019002179556179,0.2645912360245475,0.0861433743440963,3.881175740823285e-06,1.831771488047862e-06,0.1061923983657784,1.2292546323551208,1.959465934103904,0.9967954150355848,2.397783169346791,0.999192915828059,0.2490441231121221,0.9997958648245172,0.999850318601,1.17244514,8.404481992622717,,0.1948815454388011,0.0919742017162298,105.75,8.45383704386787,0.8963272082963331,69.1742897472103,1.231152128163185,,7.284218388597626,0.8892761049894523,8.886792787928101,11.064665,0.0847337891954039,1.9536396702647767,0.1119949514788204,0.0327912820468238,1.7458729605327403,0.1887822915553756,,0.0365227105867897,0.999119708871728,0.1237171110715454,0.0860570148343998,,34.83152684688793,0.0076016056193114,1.5020540630607304,0.0071448039639245,0.9186034009533852,0.0297619041671927,0.0101980131593906,0.998179196693482,,,3.569708553282969,,,0.3839402120149473,,0.4593231625620093,,,
2026-04-30,75784.95743624517,2253.620049292702,617.1644396854956,1.3706147124320556,83.03560020545386,0.3230656334014304,1.0343822314020965,39.95048948285373,327.2711792293861,0.1041077731249249,0.0078165813705211,376.1621555520116,10.247610527925046,53.85291440993714,9.111840909839144,0.2446028194869504,0.164745597624916,447.8326085560188,0.1512933174107234,1.3205261347604769,55.30424652367327,0.9998368496515434,3.191715189631525,0.0886663244975252,9.119429079795776,6.15873198783507e-06,0.9072258869770516,1.1224712721487753,0.0684334083759804,3.404765030921657,1.3271960114836543,0.9999322680511944,82.48194599863002,253.9389918075199,1.130525546858957,93.28657439478684,0.6610621902559222,0.6245192548107692,0.0632273608101779,1.962845111500754,0.0017438060263082,0.263747368095572,0.0816109350878881,3.853743550809333e-06,1.8202247187609965e-06,0.1039100987844433,1.211510218973514,1.9780822232199933,0.9967752027359978,2.3815860275861347,0.9991181966938876,0.2457767541245258,0.9998184802154744,0.9998212743154946,1.1771822,8.340868969436684,,0.1902807378215081,0.0929620076771589,105.75,8.402412992389937,0.9484508076403938,69.3958374354969,1.2277249819762026,,7.225092278710151,0.8843529817110399,8.750594353404132,11.065664,0.0866945041933105,1.9276568783732035,0.1103884359440899,0.0325374100529142,1.7158321344747989,0.182201994556848,,0.0327715965341169,0.9992144474710752,0.1246174147345359,0.0853893844225704,,34.53131481699116,0.0075228515153019,1.475425045421805,0.0069959264696357,0.91533229386535,0.0293023256325247,0.009710745443677,0.9981336474242004,0.4125637050722557,,3.47313894745358,,,0.3551143417446008,,0.4730410771444974,,,
